post_title,post_name,post_type,post_parent,attribute:pa_color,attribute_data:pa_color,attribute:pa_series,attribute_data:pa_series,_woodmart_swatch_color,images
TM280,tm280,product_variation,{{ID}},TM280,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm280.jpg
TM281,tm281,product_variation,{{ID}},TM281,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm281.jpg
TM282,tm282,product_variation,{{ID}},TM282,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm282.jpg
TM283,tm283,product_variation,{{ID}},TM283,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm283.jpg
TM304,tm304,product_variation,{{ID}},TM304,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm304.jpg
TM305,tm305,product_variation,{{ID}},TM305,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm305.jpg
TM306,tm306,product_variation,{{ID}},TM306,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm306.jpg
TM307,tm307,product_variation,{{ID}},TM307,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm307.jpg
TM308,tm308,product_variation,{{ID}},TM308,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm308.jpg
TM309,tm309,product_variation,{{ID}},TM309,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm309.jpg
TM310,tm310,product_variation,{{ID}},TM310,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm310.jpg
TM311,tm311,product_variation,{{ID}},TM311,1,TM,1,#000000,https://kosbud.ua/wp-content/uploads/2022/01/tm311.jpg
