taxonomy,term name,term slug,term description,image
pa_color,AK 1304,ak-1304,"Колір AK 1304, HEX #9c9ca8",colors/ak-1304.png
pa_color,AK 1305,ak-1305,"Колір AK 1305, HEX #828593",colors/ak-1305.png
pa_color,AK 1306,ak-1306,"Колір AK 1306, HEX #d1dcd9",colors/ak-1306.png
pa_color,BK 1307,bk-1307,"Колір BK 1307, HEX #c4d1ce",colors/bk-1307.png
pa_color,BK 1308,bk-1308,"Колір BK 1308, HEX #b4c7c8",colors/bk-1308.png
pa_color,BK 1309,bk-1309,"Колір BK 1309, HEX #a8c0c0",colors/bk-1309.png
pa_color,CK 1310,ck-1310,"Колір CK 1310, HEX #a1bdc1",colors/ck-1310.png
pa_color,AK 1311,ak-1311,"Колір AK 1311, HEX #d5dbd5",colors/ak-1311.png
pa_color,AK 1312,ak-1312,"Колір AK 1312, HEX #c3cec7",colors/ak-1312.png
pa_color,AK 1313,ak-1313,"Колір AK 1313, HEX #b9cac4",colors/ak-1313.png
pa_color,AK 1314,ak-1314,"Колір AK 1314, HEX #aabcb8",colors/ak-1314.png
pa_color,BK 1315,bk-1315,"Колір BK 1315, HEX #98b0aa",colors/bk-1315.png
pa_color,AK 1316,ak-1316,"Колір AK 1316, HEX #bcd6d8",colors/ak-1316.png
pa_color,AK 1317,ak-1317,"Колір AK 1317, HEX #accccf",colors/ak-1317.png
pa_color,AK 1318,ak-1318,"Колір AK 1318, HEX #a6c6c9",colors/ak-1318.png
pa_color,AK 1319,ak-1319,"Колір AK 1319, HEX #94bdc4",colors/ak-1319.png
pa_color,AK 1320,ak-1320,"Колір AK 1320, HEX #7cadba",colors/ak-1320.png
pa_color,AK 1321,ak-1321,"Колір AK 1321, HEX #c2d5d6",colors/ak-1321.png
pa_color,AK 1322,ak-1322,"Колір AK 1322, HEX #bdd2d3",colors/ak-1322.png
pa_color,AK 1323,ak-1323,"Колір AK 1323, HEX #96c8da",colors/ak-1323.png
pa_color,AK 1324,ak-1324,"Колір AK 1324, HEX #65b8d6",colors/ak-1324.png
pa_color,AK 1325,ak-1325,"Колір AK 1325, HEX #52aad3",colors/ak-1325.png
