SKU,Type,Parent SKU,Name,Attribute:Color,Attribute:Color Visible,Attribute:Color Global,Images,Image Alt Text,HEX,Description
bk-1185,variation,kosbud,BK 1185,BK 1185,1,1,colors/bk-1185.png,BK 1185 – #e9bda1 swatch,#e9bda1,"Колір BK 1185, HEX #e9bda1"
ak-1186,variation,kosbud,AK 1186,AK 1186,1,1,colors/ak-1186.png,AK 1186 – #eddcd0 swatch,#eddcd0,"Колір AK 1186, HEX #eddcd0"
ak-1187,variation,kosbud,AK 1187,AK 1187,1,1,colors/ak-1187.png,AK 1187 – #e8cfbf swatch,#e8cfbf,"Колір AK 1187, HEX #e8cfbf"
ak-1188,variation,kosbud,AK 1188,AK 1188,1,1,colors/ak-1188.png,AK 1188 – #e9c1aa swatch,#e9c1aa,"Колір AK 1188, HEX #e9c1aa"
ak-1189,variation,kosbud,AK 1189,AK 1189,1,1,colors/ak-1189.png,AK 1189 – #e7b396 swatch,#e7b396,"Колір AK 1189, HEX #e7b396"
ak-1190,variation,kosbud,AK 1190,AK 1190,1,1,colors/ak-1190.png,AK 1190 – #e3ad8f swatch,#e3ad8f,"Колір AK 1190, HEX #e3ad8f"
bk-1192,variation,kosbud,BK 1192,BK 1192,1,1,colors/bk-1192.png,BK 1192 – #cdd1b0 swatch,#cdd1b0,"Колір BK 1192, HEX #cdd1b0"
bk-1193,variation,kosbud,BK 1193,BK 1193,1,1,colors/bk-1193.png,BK 1193 – #bbbe96 swatch,#bbbe96,"Колір BK 1193, HEX #bbbe96"
bk-1194,variation,kosbud,BK 1194,BK 1194,1,1,colors/bk-1194.png,BK 1194 – #acb185 swatch,#acb185,"Колір BK 1194, HEX #acb185"
ck-1195,variation,kosbud,CK 1195,CK 1195,1,1,colors/ck-1195.png,CK 1195 – #a4a978 swatch,#a4a978,"Колір CK 1195, HEX #a4a978"
ak-1196,variation,kosbud,AK 1196,AK 1196,1,1,colors/ak-1196.png,AK 1196 – #eae6c0 swatch,#eae6c0,"Колір AK 1196, HEX #eae6c0"
bk-1197,variation,kosbud,BK 1197,BK 1197,1,1,colors/bk-1197.png,BK 1197 – #dcd9ad swatch,#dcd9ad,"Колір BK 1197, HEX #dcd9ad"
bk-1198,variation,kosbud,BK 1198,BK 1198,1,1,colors/bk-1198.png,BK 1198 – #d4d49e swatch,#d4d49e,"Колір BK 1198, HEX #d4d49e"
ck-1199,variation,kosbud,CK 1199,CK 1199,1,1,colors/ck-1199.png,CK 1199 – #cbcd8a swatch,#cbcd8a,"Колір CK 1199, HEX #cbcd8a"
